Company Name, Telephone, Fax, Email, Contact Person
CBS PRODUCTS SDN BHD, (0 86) 316 700, (0 86) 311 800, cb_gmd@cipra.com.my, Y Bhg Dato Hii Poh Bing
CCL TIMBER (M) SDN BHD, (0 5) 241 0211, (0 5) 255 5982, ccmah323@gmail.com, Mr Chong Zheng Wei
CERGAS UTARA SDN BHD, + 60 4 916 1108, + 60 4 916 1208, siong@yahoo.com, Mr Shim Chun Wei
CF ASIA TRADING SDN BHD, (07) 358 2818, (07) 354 0818, jefflee@cfasiawood.com, Mr Jeff Lee
CHAR BEST TRADING SDN BHD, + 60 (03) 4266 0471, + 60 (03) 4266 0471, charbest999@yahoo.com, Mr Paul Nyu
CHENG MU ENTERPRISE SDN BHD, (0 6) 678 4262 / 678 4263, (0 6) 678 4264, chengmuenterprisesdnbhd@hotmail.com, Mr Cheng Choon Keat
CHEOWOOD INDUSTRIES SDN BHD, (05) 282 4268, (05) 282 4168, cheowood@gmail.com, Mr Chow Ngok Ching
CHIN HO SAWMILL CO. (M) SDN BHD, + 60 4 573 1932, + 60 4 573 6989, chinho1@streamyx.com, Mr Tan KH
CHIN SOON TIMBER TRADING SDN BHD, + 60 4 521 3230, + 60 4 521 2715, chopchinsoon@yahoo.com, Ms Tan
CHIUN HOOI RESOURCES SDN BHD, + 60 4 643 8318, + 60 4 643 8318, chiunhsb@streamyx.com, Mr Jason Leow [H/P No:  +60 (012) 487 9911]
CHOON TECK TIMBER (M) SDN BHD, + 60 17 535 3669, + 60 6 263 1923, cttimber@live.com, Ms Ong: [H/P No: +60 (017) 535 3669]
CHOON TIAN TIMBER SDN BHD, (0 4) 425 2268, (0 4) 422 2168, choontiantimber@gmail.com, Mr Teh Kim Chong
CHOP SEE HENG FURNITURE SDN BHD, (06) 351 5331, (06) 351 5332, seehengchop@yahoo.com, Ms Low Phui Fun
CHOW KUM FOOK & SONS (MANUFACTURER) SDN BHD, + 60 9 - 5678 377, + 60 9 - 5678 522, enquiries@ckfsons.com, Mr Chow Seng Mun
CIPTA BRIQUETTES SDN BHD, (0 86) 316 700, (0 86) 311 800, cb_gmd@cipta.com.my, Y Bhg Dato' Hii Poh Bing
CKF RODS SDN BHD, + 60 3  8023 0910, + 60 3  8023 0920, sam@ckf.com.my, Ms. Sam
CLASSICS LIVING FURNITURE (M) SDN BHD, (07) 382 2291, (07) 388 8898, NaN, Mr Chew Keng Beng
CLEAR PRIORITY SDN BHD, (03) 3319 2082, (03) 3319 2082, hqsazman@yahoo.com, Mr Zainal Azman B Mdzam
CLUSTER BIO ENERGY SDN BHD, (0 3) 9018 1827, (0 3) 9108 3827, rayment.clusterbioenergy@gmail.com, Mr Rayment Quah
CONLEY ENTERPRISE, + 60 17 981 7292 / 12 985 7292, + 60 9 568 6049, conleyenterprise@gmail.com, Mr Cheong Keng Ling
CORPORATE SPECIALISTS SDN BHD, + 60 6 981 1120, + 60 6 981 1490, sharren@csmuar.com, Mr Chen Yuan Chuan [Managing Director]
COSTRACO SDN BHD, + 60 3 7880 2191, + 60 3 7880 2671| 7880 2672, info@costraco.com, Mr Henry Ng Kok Guan
CRAFT MASTER TIMBER PRODUCTS SDN BHD, + 60 7 454 2005| 454 3112, + 60 7 454 3239, alan@craftmaster.com.my, Mr Alan Tan
CRYSTAL ONE VENUE SDN BHD, (0 7) 238  3001, NaN, cristalonebb@gmail.com, Mr Md Nor Bin Parmin
CSC BIO-COAL SDN BHD, + 60 6 2310 169 | 357, + 60 6 2310 167, swlim@cscmalaysia.com, Mr HP Chen
CSRB TRADING SDN BHD, (0 4) 505 7530, (0 4) 505 7530, csrbtrading@gmail.com, Mr Khor Chun Siah
CV GLOBAL SDN BHD, (0 3) 3344 8366, NaN, cvglobalsb@gmail.com, Mr Soo Kel Ming
CY YAP ENTERPRISE, (0 12) 290 9043, (0 3) 4024 6113, cyyapenterprise6113@gmail.com, Mr Yap Cheng Siong
DA MU XIANG SDN BHD, NaN, NaN, sy.tonylee.om@gmail.com, Mr Lee Sam Yee
DAMITHAH UNIVERSAL SDN BHD, NaN, NaN, rizkaintl@yahoo.com, Mr Muhammad Imran Khan
DANAU UNGGUL SDN BHD, + 60 9 222 5098, + 60 9 222 7728, tmg_313@yahoo.com, Mr Lim CH
DANWIN MARKETING (M) SDN BHD, (0 9) 573 8852, (0 9) 573 8851, danwin788@gmail.com, Mr Ng Kee Yong
DANWIN WOOD PRODUCTS SDN BHD, (09) 573 8852, (09) 573 8851, danwinwp788@gmail.com, Mr Ng Kian Kee
DAYSWOOD SDN BHD, (0 82) 505 069, (0 82) 505 067, linda.tiong85@gmail.com, Mr Yung WenZao
DC SYNERGY SDN BHD, NaN, NaN, chaiwcong@gmail.com, Mr Chai Choy Huat
DENSETRADE HOLDINGS SDN BHD, (0 9) 513 61139, (0 9) 516 5229, densehold@gmail.com, Mr Loo Chin Meng
DERIWOOD ENTERPRISE SDN BHD, (09) 277 7268, (09) 277 4168, deriwoodenterprise@gmail.com, Mr Lai Lee Choon
DESA K.L. ENTERPRISE SDN BHD, + 60 3 6189 4364, + 60 3 6188 4163, enquiry@desakl.com.my, Mr Knew See Chua
DETIK INFORMATIF SDN BHD, (0 3) 9172 8970, (0 3) 9172 8970, ichan70@gmail.com, Mr Ameer Irshad
DEUX PERFECTIONS SDN BHD, + 60 (04) 507 2128, + 60 (04) 507 2127, deuxperfection@gmail.com, Mr KY Chua
DIAMOND VENUE SDN BHD, + 60 (09) 277 2671, + 60 (09) 277 2671, diamondvenuesb@gmail.com, Mr Gajandran
DINXINGS (M) SDN BHD, (04) 447 7932, (04) 447 8932, ken@dinxings.com.my, Mr Tan Yen Seong
DOWTIM WOOD PRODUCTS SDN BHD, + 60 (03) 3134 2786, + 60 (03) 3134 2179, amir@dowletwood.net, Mr. Pandian
DURGA TIMBER TRADERS, NaN, (09) 513 9449, NaN, Mr Tharma Lingam A/L Kanapathy
DW TIMBER SDN BHD, 9 9124 388, 9 9124 489, dw_timber@hotmail.com, Mr Lee Kon Yih
E. P. W. SDN BHD, + 60 3 3341 4211| 3341 4199, + 60 3 3341 3628| 3342 7600, epwsdnbhd@gmail.com, Mr Robert Ang
EAGLESWOOD TOBACCO INTERNATIONAL SDN BHD, (0 3) 8011 7290, (0 3) 8011 7290, kevin.leow@sylkera.com, Mr Kevin Leow Boon Keng
EAST COAST AGARWOOD SDN BHD, (0 65) 9638 1096, + 60 9 623 1578, main@ecimexagarwood.com, Mr Chua Kim Tiong
EASTARLUMBR SDN BHD, + 60 9 270 1017, + 60 9 270 1018, jameskblim@gmail.com, Mr James Lim
EASTBOARD PRODUCTS SDN BHD, NaN, (0 4) 356 4632, cstan@eastboardchemicals.com, Mr Tan Chiat Soon
EC MOULDING (M) SDN BHD, + 60 (0 5) 366 2333, + 60 (0 5) 366 2666, info@ecmoulding.com.my, Mr Chai Seong Lim [Directors]
ECO ENERGY ASIA RESOURCES SDN BHD, 3) 5525 1256, NaN, admin@ecoenergy.com.my, Mr Derrick Koo
ECO LUMBER SDN BHD, + 60 3 4270 1298| 4270 1498, + 60 3 4270 1798, eco@eco-lumber.com, Mr CC Low
ECOPOLITAN SDN BHD, + 60 (04) 422 6804, + 60 (04) 422 6808, tehskhg@yahoo.com, Mr Jason Teh Su Khuang
ECT TIMBER ENTERPRISE SDN BHD, + 60 7 352 3850| 358 1532, + 60 7 358 1532, ect8253@gmail.com, Ms BH Ong
EDGE WOOD SDN BHD, (0 3) 7610 4300, NaN, nick@edgewood.asia, Mr Goo Choon Cheng
EKOFEUZ INDUSTRY, (0 4) 446 4454, (0 4) 446 4454, admin@ekofeuz.com, Mr Loh Chia Cheang
ELEPLAS INDUSTRIES SDN BHD, + 60 7 759 5811| 759 5813| 759 5816| 759 5820, + 60 7 759 5812, chkuek@begroup.com.my, Mr Kuek Choon Heng
EM WOOD INDUSTRIES SDN BHD, + 60 3 6137 4115| 6137 6224|, + 60 3 6127 3322| 6137 4406, emwood@unifi.my, Mr . Ganesh Rajan : [H/P No: +60 (012) 385 9864]
EMBUN RIA SDN BHD, NaN, (0 9) 740 6348, ongchyelee@gmail.com, Mr Ong Chye Lee
EMP FURNITURE CENTRE, (0 16) 770 0589, (0 7) 558 5589, empmeitoh@gmail.com, Ms Toh Choo Beng
ENERGYTRANSFORMERS MALAYSIA SDN BHD, NaN, NaN, sk.tham@energytransformers.asia, Mr S.K Tham
ENG HOO TRADING CO. (M) SDN BHD, + 60 3 7956 2588, + 60 3 7958 3566, admin@enghoo.com.my, Mr Tan Aik Lam [H/P No: + 60 (012) 202 0145]
ENG SOON HUAT WOOD SDN BHD, + 60 (09) 795 0314, + 60 (09) 795 0336, engsoon2014@hotmail.com, Mr Tan Kok Chiang
EPIC AGARWOOD  BERHAD, NaN, NaN, angelsoo222222@gmail.com, Ms Angel Soo
ES ENG SOON (J) SDN BHD, (0 7) 232 3613, (0 7) 234 2067, alicia@esengsoon.com, Mr Lim Boon Hung
ESSENTIALS INTERNATIONAL (M) SDN BHD, (06) 986 3669, (06) 986 3176, shereen@elementsgrp.com, Ms Lye Lee Huey
ETH HOLDINGS SDN BHD, + 60 3 3134 1667| 3134 1662| 3134 1659, + 60 3 3134 1664, sharon.yeoh@eth.com.my, Mdm Lee Soh Hong
ETS VENTURE SDN BHD, NaN, NaN, jacksawet@gmail.com, Mr Jack Saw
EU LEAN TIMBER SDN BHD, + 60 4 485 1188, + 60 4 485 1199 | 2299, euleantimber@yahoo.com, Mr Lim Chin Lam
EURIHO INDUSTRIES SDN BHD, + 60 (03) 3134 2188, + 60 (03) 3134 3622, info@euriho.com, Mr Khor HT
EURIHO MARKETING SDN BHD, + 60 3 3134 2188, + 60 3 3134 3622, N. A., Mdm Ong
EURO ASIA TIMBER EXPORT SDN BHD, + 60 3 7661 1611, + 60 3 7661 1988, eatimberexport@gmail.com, Ms Grace Lim [H/P No: +60 (012) 280 6862]
EURO-CGA SDN BHD, + 60 3 7880 2191, + 60 3 7880 2671 / 7880 2672, info@costraco.com, Mr Henry Ng Kok Guan
EURO-TREND COMPONENTS (M) SDN BHD, + 60 (03) 9080 3667| 9080 4667, + 60 (03) 9080 2667, sales@eurotrendexport.com, Mr Rahman: [H/P No: +60 (012) 217 8804]
EVER FREIGHT LOGISTICS SDN BHD, (0 16) 666 8600, (0 3) 3318 6132, vincent@everfreight.com.my, Mr Tee Yang Wei
EVER PLANT WOOD MANUFACTURER SDN BHD, NaN, (05) 322 0781, epwood525374@gmail.com, Mr Yip Chee Weng
EVERDURE KILNING (M) SDN BHD, + 60 3 3291 5052| 3291 1889, + 60 3 3291 2088, everdurekilning@gmail.com, Dato' KP Ng [M.Director]
EVERGOLD TIMBER INDUSTRIES SDN BHD, (03) 8706 1250, (03) 8706 1133, evergoldtimber@outlook.com, Mr Koh Ching Man
EVERGREEN FIBREBOARD (JB) SDN BHD, + 60 (07) 387 4980, + 60 (07) 387 4995| 387 4978, salmah@ejb.com.my, Ms Salmah
EVERGREEN INDUSTRIES PRODUCTS SDN BHD, + 60 4 472 1657| 19 312 5761, + 60 4 472 1659| 470 6275, N. A., Mr CM Lim
EVERGREEN RICE MILL (M) SDN BHD, (0 4) 794 4228 / (0 4) 576 1604, (0 4) 794 4226 / (0 4) 576 1636, everg2005@yahoo.com, Mr Ooi Eng Hooi
EVERGREEN RUBBERWOOD PRODUCTS SDN BHD, (0 9) 975 1996, (0 9) 975 1636, evergreenrubberwood@yahoo.com, Mr Ng Yiam Khoon
EVERYDAY FURNITURE, + 60 3 6156 2675 / 6156 9479, + 60 3 6156 0529, everydayfurniture09@gmail.com, Mr Ng Kean Hoe
EXCLUSIVE LIVING FURNITURE INDUSTRIES SDN BHD, NaN, NaN, wilson@xclusiveliving.com, Mr Lim Kok Keong
EZ LUMBER (M) SDN BHD, + 60 3 7877 7686, + 60 3 7877 7818, ez@ezlumber.com.my, Mr Bernard Wang
FAROSSAKA SDN BHD, +60 (016) 696 5026, NaN, appolo1121@yahoo.com, Mr Varatharajalu
FELLA DESIGN SDN BHD, (0 3) 7846 5433, (0 3) 7846 5432, syofyan@fella.com.my, Mr Tan Ah Peng
FENGLIN LUMBER SDN BHD, + 60 9 515 8228, + 60 9 513 2328, fenglin2002@hotmail.com, Mr Ng Chun Jye: [H/P No: +60 (019) 757 679]
FENGLIN PALLET SDN BHD, (0 7) 467 8703, (0 7) 467 8703, fenglinpallet@hotmail.com, Mr Ng Woei Jye
FIRST TRIAL (M) SDN BHD, (0 3) 7845 7888, (0 3) 7845 3888, sctan@firsttrial.com, Mr Yeap Boay Soon
FLOOR DEPOT DISTRIBUTION SDN BHD, + 60 (0 3) 8062 8589, + 60 (0 3) 8062 8577, brydon@floordepot.com.my, Mr Chong Fok Seng
FLOORTECH ASIA PACIFIC SDN BHD, + 60 (03) 5161 5895| (012) 799 3884| (012) 799 388, + 60 (03) 5161 4144, salesadmin@rentakquantum.com, Ms Lim
FM TIMBER SDN BHD, (05) 752 0271, (05) 752 0267, fmtimber@hotmail.com, Mr Chong Fai Ming
FMK TIMBER INDUSTRIES SDN BHD, + 60 (016) 676 5838, + 60 (03) 6120 4698, liewcharles@yahoo.com, Mr Liew Kam Meng
FOO BEE NATURAL WOOD PRODUCTS SDN BHD, + 60 3 6157 5585| 6157 5478| 6157 8652| 6141 2809, + 60 3 6157 5603| 6157 8205, info@foobeeveneer.com.my, Mr Tan Kian Lee
FOREST AVENUE INTERNATIONAL SDN BHD, + 60 (03) 3122 7300, + 60 (03) 3122 6601, chooty@timber.com.my, Mr Choo Tuan Yong
FOREST QUALITY PRODUCTS SDN BHD, + 60 3 3325 5996| 3325 5997| 3325 5998, + 60 3 3323 1540, tfwsb99@yahoo.com, Mr Lim Kim Hong
FOREST SCHEME (S) SDN BHD, (0 84) 313 678 / 323 678 / 310 678, (0 84) 328 668, fscheme@gmail.com, Mr Wong Ing Huong
FORESTRY ASSETS SDN BHD, (0 3) 6419 0415, NaN, info@forestryassets.com.my, Mr Muhammad Ivarn
FORESTRY TECHNOLOGIES SDN BHD, (0 3) 6419 0415, (0 3) 6419 0416, info@forestryassets.com.my, Muhammad Ivarn
FORETASK RESOURCES SDN BHD, (086) 312 646, (086) 317 358, NaN, Mr Kiew Toh Sing
FUJIRANK SDN BHD, (0 89) 615 254, (0 89) 614 863, matowinsb@gmail.com, Mr Kiing Teck Ngie
FURNCREST SDN BHD, (06) 953 5055, NaN, info@furncrest.com, Mr Er Tzer Nam
FURNMAX GLOBAL SDN BHD, (06) 986 5535, (06) 986 5528, furnmax168@gmail.com, Mr Lau Hwa Choon
FUTUREWOOD PRODUCTS SDN BHD, + 60 (09) 566 7290, + 60 (09)   566 7290, futurewoodproducts@gmail.com, Mdm Cheam Chen Jee (Mrs Lee)
GAHARU TECHNOLOGIES SDN BHD, + 60 5 357 5999, + 60 5 357 5666, info@gaharu.com.my, Mr Nicklaus Ho Chu Wei
GAOSON SDN BHD, (09) 270 1669, (09) 270 1670, gaosonccc@gmail.com, Mr Chen Chiu Chin
GAYA SEMPURNA SDN BHD, (088) 723 043, (088) 718 793, kuanming43@gmail.com, Mr Chong Kuan Ming
GENTING EHSAN SDN BHD, + 60 3 6075 3188, + 60 3 6075 3177, gentingehsan@yahoo.com, Mr Gan Loong Ching (Director)
GENUINE CAPITAL TRADING, NaN, NaN, zaidiame@yahoo.com, Ms Illiyin Najihah Binti Zaidi
GERBANG MASYHUR PAPAN LAPIS SDN BHD, + 60 6 977 7113| 977 6936, + 60 6 977 6908, gerbang_masyhur@yahoo.com, Mr Tey Man Er
GILBERT HARDWOOD INDUSTRIES (M) SDN BHD, + 60 (04) 420 2771, + 60 (04) 420 2770, gilbertkho@yahoo.com, Mr Gilbert Kho
GL WAN ENTERPRISE SDN BHD, + 60 9 691 0889| 691 0888| 19 621 0489, + 60 9 691 0887, glwansb@gmail.com, Ms Wong Mei Fong
GLOBAL TIMBERMART DOTCOM SDN BHD, + 60 (03) 5636 5156, + 60 (03) 5621 0466, globaltimbermart@gmail.com, Mr Toh Seng Huat
GLOBAL WOOD PRODUCTS SDN BHD, + 60 (03) 3134 1990, + 60 (03) 3134 3239, agnes11_gwp@yahoo.com, Mr Chong Yok Chuan
GLOBUS PREMIUM SDN BHD, NaN, NaN, jeghan.nathan@gmail.com, Mr Jeghan Nathan
GLORYBIZ SDN BHD, + 60 6 976 2436, + 60 6 976 2807, gbchenwy@gmail.com, Mr Lee
GOLD WOOD ASIA SDN BHD, (0 3) 7880 1616, (0 3) 7887 9020, jason313@gmail.com, Mr Jason Ong
GOLDEN AERO WOODEN MANUFACTURING SDN BHD, + 60 (04) 594 3650, + 60 (04) 593 3650, goldenaerogroup@gmail.com, Mr Ooi Hao Eng
